file_name,text
Hand_0000002.jpg,back of fair-skinned male right hand
Hand_0000003.jpg,back of fair-skinned male right hand
Hand_0000004.jpg,back of fair-skinned male right hand
Hand_0000005.jpg,back of fair-skinned male right hand
Hand_0000006.jpg,back of fair-skinned male right hand
Hand_0000007.jpg,back of fair-skinned male right hand
Hand_0000008.jpg,back of fair-skinned male right hand
Hand_0000009.jpg,back of fair-skinned male right hand
Hand_0000010.jpg,back of fair-skinned male right hand
Hand_0000011.jpg,back of fair-skinned male right hand
Hand_0000012.jpg,back of fair-skinned male right hand
Hand_0000013.jpg,back of fair-skinned male right hand
Hand_0000014.jpg,back of fair-skinned male right hand
Hand_0000015.jpg,back of fair-skinned male right hand
Hand_0000016.jpg,back of fair-skinned male right hand
Hand_0000020.jpg,back of fair-skinned male right hand
Hand_0000021.jpg,back of fair-skinned male left hand with accessories
Hand_0000022.jpg,back of fair-skinned male left hand with accessories
Hand_0000023.jpg,back of fair-skinned male left hand with accessories
Hand_0000024.jpg,back of fair-skinned male left hand with accessories
Hand_0000025.jpg,back of fair-skinned male left hand with accessories
Hand_0000026.jpg,back of fair-skinned male left hand with accessories
Hand_0000027.jpg,back of fair-skinned male left hand with accessories
Hand_0000028.jpg,back of fair-skinned male left hand with accessories
Hand_0000029.jpg,back of fair-skinned male left hand with accessories
Hand_0000030.jpg,back of fair-skinned male left hand with accessories
Hand_0000031.jpg,back of fair-skinned male left hand with accessories
Hand_0000032.jpg,back of fair-skinned male left hand with accessories
Hand_0000033.jpg,back of fair-skinned male left hand with accessories
Hand_0000034.jpg,back of fair-skinned male left hand with accessories
Hand_0000038.jpg,front of fair-skinned male left hand with accessories
Hand_0000039.jpg,front of fair-skinned male left hand with accessories
Hand_0000040.jpg,front of fair-skinned male left hand with accessories
Hand_0000041.jpg,front of fair-skinned male left hand with accessories
Hand_0000042.jpg,front of fair-skinned male left hand with accessories
Hand_0000043.jpg,front of fair-skinned male left hand with accessories
Hand_0000044.jpg,front of fair-skinned male left hand with accessories
Hand_0000045.jpg,front of fair-skinned male left hand with accessories
Hand_0000046.jpg,front of fair-skinned male left hand with accessories
Hand_0000047.jpg,front of fair-skinned male left hand with accessories
Hand_0000048.jpg,front of fair-skinned male left hand with accessories
Hand_0000049.jpg,front of fair-skinned male left hand with accessories
Hand_0000050.jpg,front of fair-skinned male left hand with accessories
Hand_0000051.jpg,front of fair-skinned male left hand with accessories
Hand_0000052.jpg,front of fair-skinned male left hand with accessories
Hand_0000053.jpg,front of fair-skinned male left hand with accessories
Hand_0000054.jpg,front of fair-skinned male left hand with accessories
Hand_0000055.jpg,front of fair-skinned male left hand
Hand_0000056.jpg,front of fair-skinned male left hand
Hand_0000057.jpg,front of fair-skinned male left hand
Hand_0000058.jpg,front of fair-skinned male left hand
Hand_0000059.jpg,front of fair-skinned male left hand
Hand_0000060.jpg,front of fair-skinned male left hand
Hand_0000061.jpg,front of fair-skinned male left hand
Hand_0000062.jpg,front of fair-skinned male left hand
Hand_0000063.jpg,front of fair-skinned male left hand
Hand_0000064.jpg,front of fair-skinned male left hand
Hand_0000065.jpg,front of fair-skinned male left hand
Hand_0000066.jpg,front of fair-skinned male left hand
Hand_0000067.jpg,front of fair-skinned male left hand
Hand_0000068.jpg,front of fair-skinned male left hand
Hand_0000069.jpg,front of fair-skinned male left hand
Hand_0000070.jpg,back of fair-skinned male left hand
Hand_0000071.jpg,back of fair-skinned male left hand
Hand_0000072.jpg,back of fair-skinned male left hand
Hand_0000073.jpg,back of fair-skinned male left hand
Hand_0000074.jpg,back of fair-skinned male left hand
Hand_0000075.jpg,back of fair-skinned male left hand
Hand_0000076.jpg,back of fair-skinned male left hand
Hand_0000077.jpg,back of fair-skinned male left hand
Hand_0000078.jpg,back of fair-skinned male left hand
Hand_0000079.jpg,back of fair-skinned male left hand
Hand_0000080.jpg,back of dark-skinned female right hand
Hand_0000081.jpg,back of dark-skinned female right hand
Hand_0000082.jpg,back of dark-skinned female right hand
Hand_0000083.jpg,back of dark-skinned female right hand
Hand_0000084.jpg,back of dark-skinned female right hand
Hand_0000085.jpg,front of dark-skinned female right hand
Hand_0000086.jpg,front of dark-skinned female right hand
Hand_0000087.jpg,front of dark-skinned female right hand
Hand_0000088.jpg,front of dark-skinned female right hand
Hand_0000089.jpg,front of dark-skinned female right hand
Hand_0000090.jpg,front of dark-skinned female right hand
Hand_0000091.jpg,back of dark-skinned female left hand
Hand_0000092.jpg,back of dark-skinned female left hand
