,path,query,alt,src
0,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/four fingers/fourfingers0.jpeg,four fingers,"Four fingers measure | Well, my fingers are much wider than … | Flickr",https://live.staticflickr.com/2901/14249898802_5d1f07d587_b.jpg
1,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/four fingers/fourfingers2.jpeg,four fingers,Finger stumps after 1 year | all four fingers | weaponeer | Flickr,https://live.staticflickr.com/1316/1013202214_9ea6f47080_c.jpg
2,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/four fingers/fourfingers3.jpeg,four fingers,The four finger salute. | Effra FC. The Salute. Lets see yer… | Flickr,https://live.staticflickr.com/2410/2404140958_95195f30c8_b.jpg
3,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/four fingers/fourfingers4.jpeg,four fingers,Talk to the four fingers | And this is why I've always had p… | Flickr,https://live.staticflickr.com/3140/2796145412_8ac9bc9918_b.jpg
4,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/four fingers/fourfingers5.jpeg,four fingers,"Man`s Hand Gestures, Counting Numbers One To Five, Isolated On White Stock  Photo, Picture and Royalty Free Image. Image 134157378.",https://previews.123rf.com/images/grumpyliveshere/grumpyliveshere1904/grumpyliveshere190400006/134157378-man-s-hand-gestures-counting-numbers-one-to-five-isolated-on-white.jpg
5,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/four fingers/fourfingers7.jpeg,four fingers,"Four Fingers, one Thumb, no Nuts! | At the British Wildlife … | Flickr",https://live.staticflickr.com/1359/5144086010_44128d2280_b.jpg
6,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/four fingers/fourfingers8.jpeg,four fingers,"Finger Amputation | Four fingers amputated Jul 07, 2006 | weaponeer | Flickr",https://live.staticflickr.com/52/185276963_d08704b1ec_b.jpg
7,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/four fingers/fourfingers9.jpeg,four fingers,Franky Four Fingers | Franky Four Fingers @ Rock Highway Con… | Daniel  Gasienica | Flickr,https://live.staticflickr.com/2178/2122954673_e7bf672794_b.jpg
8,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/palms out/palmsout0.jpeg,palms out,Free Stock Photo of Two Human Hands | Download Free Images and Free  Illustrations,https://freerangestock.com/sample/123320/two-human-hands-.jpg
9,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/prayer hands/prayerhands1.jpeg,prayer hands,"Praying Hands Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds  - rawpixel",https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA1L2pvYjcyNS0xMzYtcC5wbmc.png
10,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/palms out/palmsout2.jpeg,palms out,Royalty-Free photo: Person hands lifting | PickPik,https://i0.pickpik.com/photos/1001/326/405/hands-two-palms-light-preview.jpg
11,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/palms out/palmsout3.jpeg,palms out,Cropped Shot Tattooed Man Woman Holding Palms Together Isolated Pink Stock  Photo by ©KateNovikova 197716502,https://st4.depositphotos.com/15583058/19771/i/1600/depositphotos_197716502-stock-photo-cropped-shot-tattooed-man-woman.jpg
12,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/prayer hands/prayerhands2.jpeg,prayer hands,"Praying Hands Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds  - rawpixel",https://images.rawpixel.com/image_png_800/cHJpdmF0ZS9sci9pbWFnZXMvd2Vic2l0ZS8yMDIyLTA1L2pvYjcxNi0wODgtcC5wbmc.png
13,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/palms out/palmsout4.jpeg,palms out,"Day 20/365 - Hand, Hand, Fingers, Thumb | For this week's se… | Flickr",https://live.staticflickr.com/3008/2982273124_c46029da05_b.jpg
14,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/prayer hands/prayerhands3.jpeg,prayer hands,Praying woman hands | Praying woman hands | Long Thiên | Flickr,https://live.staticflickr.com/1561/26086288495_2692997ee9_b.jpg
15,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/prayer hands/prayerhands4.jpeg,prayer hands,"Prayer Hands Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds -  rawpixel",https://img.rawpixel.com/s3fs-private/rawpixel_images/website_content/px879905-image-kwyo71yq.jpg?w=800&dpr=1&fit=default&crop=default&q=65&vib=3&con=3&usm=15&bg=F4F4F3&ixlib=js-2.2.1&s=c62bf7a58980b9a799c85affcf247880
16,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/palms out/palmsout5.jpeg,palms out,Person Showing His Left Human Palm · Free Stock Photo,https://images.pexels.com/photos/236372/pexels-photo-236372.jpeg
17,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/prayer hands/prayerhands5.jpeg,prayer hands,Royalty-Free photo: Person praying hands selective focus photographyt |  PickPik,https://i1.pickpik.com/photos/244/346/527/praying-hands-faith-hope-religion-preview.jpg
18,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/palms out/palmsout6.jpeg,palms out,How to draw hands Palms Up 1 by ArticTiger on DeviantArt,"https://images-wixmp-ed30a86b8c4ca887773594c2.wixmp.com/f/dea9b092-b553-4980-8af8-304f4a18da26/d253udf-ef0435cd-c547-4d70-b163-fb57f1e7f1e7.jpg/v1/fill/w_600,h_853,q_75,strp/how_to_draw_hands_palms_up_1_by_artictiger_d253udf-fullview.jpg?token=eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJzdWIiOiJ1cm46YXBwOjdlMGQxODg5ODIyNjQzNzNhNWYwZDQxNWVhMGQyNmUwIiwiaXNzIjoidXJuOmFwcDo3ZTBkMTg4OTgyMjY0MzczYTVmMGQ0MTVlYTBkMjZlMCIsIm9iaiI6W1t7ImhlaWdodCI6Ijw9ODUzIiwicGF0aCI6IlwvZlwvZGVhOWIwOTItYjU1My00OTgwLThhZjgtMzA0ZjRhMThkYTI2XC9kMjUzdWRmLWVmMDQzNWNkLWM1NDctNGQ3MC1iMTYzLWZiNTdmMWU3ZjFlNy5qcGciLCJ3aWR0aCI6Ijw9NjAwIn1dXSwiYXVkIjpbInVybjpzZXJ2aWNlOmltYWdlLm9wZXJhdGlvbnMiXX0.0_8IZR8Zwjx_ZygHZmnthNsDe3sF_REBRDRGdWHMbbo"
19,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/prayer hands/prayerhands6.jpeg,prayer hands,"Praying Hands Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds  - rawpixel",https://images.rawpixel.com/image_800/cHJpdmF0ZS9zdGF0aWMvaW1hZ2Uvd2Vic2l0ZS8yMDIyLTA0L2xyL3B4NzI5ODExLWltYWdlLWt3dnYzZmRnLmpwZw.jpg
20,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/palms out/palmsout7.jpeg,palms out,Mature palms lean out at the edge of a tropical rainforest… | Flickr,https://live.staticflickr.com/104/268376440_bcc3e166cf.jpg
21,/Users/matthewhayes/Documents/CS236 Deep Generative Models/Project/Google-Image-Scraper/creativecommons/prayer hands/prayerhands7.jpeg,prayer hands,"Praying Hands Images | Free Photos, PNG Stickers, Wallpapers & Backgrounds  - rawpixel",https://images.rawpixel.com/image_800/czNmcy1wcml2YXRlL3Jhd3BpeGVsX2ltYWdlcy93ZWJzaXRlX2NvbnRlbnQvbHIvcHgxMTQ3MzM3LWltYWdlLWt3eXIyaGZyLmpwZw.jpg
